time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-28 00:00:00+00:00,15,6,0,0
2026-05-29 00:00:00+00:00,10,5,0,0
2026-05-30 00:00:00+00:00,37,9,0,0
2026-05-31 00:00:00+00:00,8,4,0,0
2026-06-01 00:00:00+00:00,28,11,0,0
2026-06-02 00:00:00+00:00,27,7,0,0
2026-06-03 00:00:00+00:00,3,3,0,0
2026-06-04 00:00:00+00:00,3,3,0,0
2026-06-05 00:00:00+00:00,10,3,0,0
2026-06-06 00:00:00+00:00,9,2,0,0
2026-06-07 00:00:00+00:00,30,10,0,0
2026-06-08 00:00:00+00:00,32,11,0,0
2026-06-09 00:00:00+00:00,23,5,0,0
2026-06-10 00:00:00+00:00,17,6,0,0
