time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-03 00:00:00+00:00,10,6,0,0
2026-04-04 00:00:00+00:00,14,4,0,0
2026-04-05 00:00:00+00:00,27,7,0,0
2026-04-06 00:00:00+00:00,13,5,0,0
2026-04-07 00:00:00+00:00,16,6,0,0
2026-04-08 00:00:00+00:00,8,4,0,0
2026-04-09 00:00:00+00:00,13,4,0,0
2026-04-10 00:00:00+00:00,28,11,0,0
2026-04-11 00:00:00+00:00,48,15,0,0
2026-04-12 00:00:00+00:00,15,7,0,0
2026-04-13 00:00:00+00:00,42,13,0,0
2026-04-14 00:00:00+00:00,14,4,0,0
2026-04-15 00:00:00+00:00,20,6,0,0
2026-04-16 00:00:00+00:00,31,8,0,0
